set,source,target,paths,length
random,Solyc07g062720.3.1,Solyc02g083850.3.1,"[['Solyc07g062720.3.1', 'Solyc01g005400.3.1', 'Solyc02g083850.3.1']]",3
random,Solyc01g097800.3.1,Solyc07g007790.3.1,"[['Solyc01g097800.3.1', 'Solyc07g007790.3.1']]",2
random,Solyc04g081630.2.1,Solyc03g117590.3.1,"[['Solyc04g081630.2.1', 'Solyc03g117590.3.1']]",2
random,Solyc11g013720.1.1,Solyc02g083850.3.1,"[['Solyc11g013720.1.1', 'Solyc01g109830.3.1', 'Solyc02g083850.3.1']]",3
random,Solyc06g062940.5.1,Solyc02g083850.3.1,"[['Solyc06g062940.5.1', 'Solyc09g074320.3.1', 'Solyc02g083850.3.1']]",3
random,Solyc05g055290.3.1,Solyc02g083850.3.1,"[['Solyc05g055290.3.1', 'Solyc10g079140.2.1', 'Solyc02g083850.3.1']]",3
random,Solyc02g078480.3.1,Solyc02g083850.3.1,"[['Solyc02g078480.3.1', 'Solyc04g077790.3.1', 'Solyc02g083850.3.1']]",3
random,Solyc01g098060.1.1,Solyc06g005170.3.1,"[['Solyc01g098060.1.1', 'Solyc06g005170.3.1']]",2
random,Solyc03g150160.1.1,Solyc02g088340.4.1,"[['Solyc03g150160.1.1', 'Solyc12g099025.1.1', 'Solyc02g088340.4.1']]",3
random,Solyc05g051890.1.1,Solyc02g083850.3.1,"[['Solyc05g051890.1.1', 'Solyc06g061200.1.1', 'Solyc10g079140.2.1', 'Solyc02g083850.3.1']]",4
random,Solyc02g087870.3.1,Solyc02g083850.3.1,"[['Solyc02g087870.3.1', 'Solyc05g018300.3.1', 'Solyc02g083850.3.1']]",3
random,Solyc01g073940.3.1,Solyc02g083850.3.1,"[['Solyc01g073940.3.1', 'Solyc11g056650.2.1', 'Solyc02g083850.3.1']]",3
random,Solyc10g085000.2.1,Solyc06g005170.3.1,"[['Solyc10g085000.2.1', 'Solyc06g005170.3.1']]",2
random,Solyc06g074030.1.1,Solyc10g084170.1.1,"[['Solyc06g074030.1.1', 'Solyc10g084170.1.1']]",2
random,Solyc08g022240.1.1,Solyc03g117590.3.1,"[['Solyc08g022240.1.1', 'Solyc09g075950.1.1', 'Solyc03g117590.3.1']]",3
random,Solyc06g051570.4.1,Solyc10g084170.1.1,"[['Solyc06g051570.4.1', 'Solyc10g084170.1.1']]",2
random,Solyc11g065380.2.1,Solyc03g096730.3.1,"[['Solyc11g065380.2.1', 'Solyc08g077270.4.1', 'Solyc03g096730.3.1']]",3
random,Solyc03g079920.3.1,Solyc02g083850.3.1,"[['Solyc03g079920.3.1', 'Solyc04g077790.3.1', 'Solyc02g083850.3.1']]",3
random,Solyc08g061270.1.1,Solyc02g083850.3.1,"[['Solyc08g061270.1.1', 'Solyc01g109830.3.1', 'Solyc02g083850.3.1']]",3
random,Solyc03g114750.3.1,Solyc02g083850.3.1,"[['Solyc03g114750.3.1', 'Solyc03g098620.3.1', 'Solyc06g076620.3.1', 'Solyc02g083850.3.1']]",4
random,Solyc09g082080.1.1,Solyc02g083850.3.1,"[['Solyc09g082080.1.1', 'Solyc06g082460.1.1', 'Solyc07g018140.3.1', 'Solyc02g083850.3.1']]",4
random,Solyc05g056570.3.1,Solyc06g005170.3.1,"[['Solyc05g056570.3.1', 'Solyc06g005170.3.1']]",2
random,Solyc01g006650.2.1,Solyc06g005170.3.1,"[['Solyc01g006650.2.1', 'Solyc06g005170.3.1']]",2
random,Solyc03g083540.3.1,Solyc02g083850.3.1,"[['Solyc03g083540.3.1', 'Solyc06g065700.3.1', 'Solyc02g083850.3.1']]",3
random,Solyc07g063900.3.1,Solyc02g078030.3.1,"[['Solyc07g063900.3.1', 'Solyc09g008740.1.1', 'Solyc02g078030.3.1']]",3
random,Solyc01g096270.3.1,Solyc02g083850.3.1,"[['Solyc01g096270.3.1', 'Solyc10g081170.2.1', 'Solyc02g083850.3.1']]",3
random,Solyc04g051360.3.1,Solyc02g083850.3.1,"[['Solyc04g051360.3.1', 'Solyc01g058720.4.1', 'Solyc02g083850.3.1']]",3
random,Solyc03g115810.3.1,Solyc09g064370.4.1,"[['Solyc03g115810.3.1', 'Solyc09g064370.4.1']]",2
random,Solyc04g082060.4.1,Solyc03g117590.3.1,"[['Solyc04g082060.4.1', 'Solyc02g087240.4.1', 'Solyc03g117590.3.1']]",3
random,Solyc02g083280.5.1,Solyc02g083850.3.1,"[['Solyc02g083280.5.1', 'Solyc10g079140.2.1', 'Solyc02g083850.3.1']]",3
random,Solyc03g094010.3.1,Solyc02g078030.3.1,"[['Solyc03g094010.3.1', 'Solyc10g018705.2.1', 'Solyc02g078030.3.1']]",3
random,Solyc04g009540.1.1,Solyc10g084170.1.1,"[['Solyc04g009540.1.1', 'Solyc10g084170.1.1']]",2
random,Solyc09g074660.3.1,Solyc02g083850.3.1,"[['Solyc09g074660.3.1', 'Solyc01g109830.3.1', 'Solyc02g083850.3.1']]",3
random,Solyc01g056960.1.1,Solyc06g005170.3.1,"[['Solyc01g056960.1.1', 'Solyc04g049720.4.1', 'Solyc06g005170.3.1']]",3
random,Solyc04g051610.3.1,Solyc02g083850.3.1,"[['Solyc04g051610.3.1', 'Solyc01g109830.3.1', 'Solyc02g083850.3.1']]",3
random,Solyc08g082860.4.1,Solyc07g007790.3.1,"[['Solyc08g082860.4.1', 'Solyc07g007790.3.1']]",2
random,Solyc02g080200.5.1,Solyc10g084170.1.1,"[['Solyc02g080200.5.1', 'Solyc10g084170.1.1']]",2
random,Solyc12g009850.1.1,Solyc02g083850.3.1,"[['Solyc12g009850.1.1', 'Solyc06g065700.3.1', 'Solyc02g083850.3.1']]",3
random,Solyc02g087200.2.1,Solyc02g083850.3.1,"[['Solyc02g087200.2.1', 'Solyc02g091860.3.1', 'Solyc02g083850.3.1']]",3
random,Solyc04g074500.3.1,Solyc06g005170.3.1,"[['Solyc04g074500.3.1', 'Solyc06g005170.3.1']]",2
random,Solyc07g022840.1.1,Solyc02g083850.3.1,"[['Solyc07g022840.1.1', 'Solyc03g093460.3.1', 'Solyc02g083850.3.1']]",3
