gene,stress,reasonable_term
Solyc09g098170,heat,true
Solyc09g098230,heat,true
Solyc09g098540,heat,true
Solyc09g160630,heat,true
Solyc10g005180,heat,true
Solyc10g005260,heat,true
Solyc10g005490,heat,true
Solyc10g005510,heat,true
Solyc10g007350,heat,true
Solyc10g011870,heat,true
Solyc10g011900,heat,true
Solyc10g044690,heat,true
Solyc10g045550,heat,true
Solyc10g047240,heat,true
Solyc10g050860,heat,true
Solyc10g054330,heat,true
Solyc10g074930,heat,true
Solyc10g078390,heat,true
Solyc10g078930,heat,true
Solyc10g079160,heat,true
Solyc10g079250,heat,true
Solyc10g079380,heat,true
Solyc10g079890,heat,true
Solyc10g081220,heat,true
Solyc10g083170,heat,true
Solyc10g083180,heat,true
Solyc10g083230,heat,true
Solyc10g085290,heat,true
Solyc10g085380,heat,true
Solyc10g085790,heat,true
Solyc10g085800,heat,true
Solyc10g086420,heat,true
Solyc10g086680,heat,true
Solyc11g005845,heat,true
Solyc11g006460,heat,true
Solyc11g006720,heat,true
Solyc11g008990,heat,true
Solyc11g011210,heat,true
Solyc11g011370,heat,true
Solyc11g012460,heat,true
Solyc11g012645,heat,true
Solyc11g012830,heat,true
Solyc11g012980,heat,true
Solyc11g013100,heat,true
Solyc11g018600,heat,true
Solyc11g020040,heat,true
Solyc11g020330,heat,true
Solyc11g064990,heat,true
Solyc11g065880,heat,true
Solyc11g066090,heat,true
Solyc11g068460,heat,true
Solyc11g069160,heat,true
Solyc11g071740,heat,true
Solyc11g071750,heat,true
Solyc11g071760,heat,true
Solyc11g071830,heat,true
Solyc11g072090,heat,true
Solyc12g005180,heat,true
Solyc12g006020,heat,true
Solyc12g008460,heat,true
Solyc12g010320,heat,true
Solyc12g010470,heat,true
Solyc12g011330,heat,true
Solyc12g013620,heat,true
Solyc12g014290,heat,true
Solyc12g014417,heat,true
Solyc12g014470,heat,true
Solyc12g015880,heat,true
Solyc12g033130,heat,true
Solyc12g042500,heat,true
Solyc12g042520,heat,true
Solyc12g042560,heat,true
Solyc12g042830,heat,true
Solyc12g043110,heat,true
Solyc12g043120,heat,true
Solyc12g044630,heat,true
Solyc12g044910,heat,true
Solyc12g049190,heat,true
Solyc12g049420,heat,true
Solyc12g055855,heat,true
Solyc12g056600,heat,true
